Ed Beach	8.09353
Mike Belles	8.09369
Joseph M. Balkoski	8.41923
Chris Withers	8.41923
Ken Dunn	8.47818
Walter Vejdovsky	8.38113
Marc Ripoll	8.82781
Helge Ostertag	8.84862
Flo de Haan	8.38678
John Rodriguez	8.38678
